主演	《<e1>大唐儒将开漳圣王</e1>》：大型历史剧导演：范秀明领衔主演：严屹宽、王思懿、何苗、郑佩佩、魏宗万、樊志起、<e2>魏德山</e2>、常乐、鑫淼、刘永、王戎、李立等
主演	《<e1>凤囚凰</e1>》是由华夏视听环球传媒(北京)股份有限公司、东阳欢娱影视文化有限公司联合出品的古装权谋剧，由李慧珠执导，于正编剧，关晓彤、宋威龙领衔主演，张馨予、杨明娜友情出演，张逸杰、白鹿、吴谨言、吴佳怡、米热、许凯、何奉天、<e2>洪尧</e2>等主演
主演	《<e1>咱们结婚吧</e1>》是一部由刘江执导，<e2>高圆圆</e2>、姜武、李晨、郑恺、陈意涵、郭碧婷、刘涛、王自健等主演的爱情喜剧片
出版社	《<e1>滚雪球（上）（纪念版）</e1>》是2013年<e2>中信出版社</e2>出版的图书，作者是美艾丽斯·施罗德
出生日期	<e1>麻晓勇</e1>，男，汉族，<e2>1974年1月</e2>出生，浙江缙云人，1994年12月加入中国共产党，州市拱墅区人民法院调研员
出版社	《<e1>实用妇科百题</e1>》是1995年<e2>外文出版社</e2>出版的图书
导演	2010年，参演由<e2>吴锦源</e2>执导的影片《<e1>大管家</e1>》，饰演反派南京巨贾林希贤，不择手段的破坏南京首富文国轩的生意和家庭
出版社	《<e1>制革化学及工艺学（下册）</e1>》是1982年<e2>中国轻工业出版社</e2>出版的图书
主演	后她被香港著名导演王晶选中，出演《<e1>八大豪侠</e1>》中的玉女神医扁素问，与黄秋生、刘松仁、<e2>陆毅</e2>、范冰冰等明星大腕们合作，2011年8月21日，董璇和高云翔在北京结婚
作者	《<e1>谁都别惹我</e1>》改编自网络小说家<e2>张小花</e2>的同名作品，是蒋汉卿执导的网络电视剧，由叶浏、杨雪等参加演出
成立日期	长大后，严介和成为一名教师，之后进入建筑行业，并于<e2>1995年</e2>创办了<e1>太平洋建设集团</e1>
主演	9剧组杀青台湾著名编剧方美人编著，台湾金牌导演连春利执导，胡兵、韩栋、<e2>贾青</e2>、曹阳等帅哥美女共同担纲主演的六十集大型青春励志偶像剧《<e1>粉领女郎</e1>》在海南三亚杀青
歌手	《<e1>爱情彼岸</e1>》是华语歌手<e2>何洁</e2>专辑《明明不是Angel》里的一首单曲
出生日期	<e1>杨甫军</e1>，男，<e2>1958年</e2>生人，中共党员，1975年参加工作，毕业于山东烟台商业学院烹饪专业，已有29年的烹饪历史，现为中国烹饪大师，中国高级烹饪技师，保定市烹饪餐饮协会副会长
歌手	《<e1>革命人永远是年轻</e1>》是<e2>于文华</e2>、魏金栋演唱的歌曲，该首歌曲出自于1995年01月01日发行的专辑《红梅赞—中国歌剧金曲》
导演	《<e1>将夜</e1>》是根据猫腻的同名玄幻小说改编的古装玄幻剧，由<e2>杨阳</e2>执导，主演为：陈飞宇、宋伊人、安慧媛，高颜值组合让人眼前一亮
出生日期	<e1>田宸羽</e1>（Seven），又名小亮仔、森碗，<e2>2011年11月8日</e2>出生于香港，田亮与叶一茜的次子
出版社	《<e1>工程结构试验理论与技术</e1>》是2004年<e2>天津大学出版社</e2>出版的图书，作者是李忠献
出版社	《<e1>权力与相互依赖</e1>》是2002年<e2>北京大学出版社</e2>出版的图书，作者是[美]基欧汉、奈
作者	《<e1>假如上帝还我一双手</e1>》是2008年昆仑出版社出版的图书，作者是<e2>和志刚</e2>
歌手	杨梓文祺和<e2>李琦</e2>完美的搭配，也给歌曲增分不少，两人一甜美一沉稳的嗓音在这首歌曲中得到了充分的展示，听着两人带来的《<e1>老来福</e1>》，我们也憧憬着这样美丽的老来福1
歌手	《<e1>一直等你</e1>》是2008年4月发行的国语歌曲，收录在《峙在必得》专辑中，演唱者是<e2>吴峙轩</e2>
歌手	<e1>爱的天际线</e1>是<e2>李行亮</e2>演唱的一首歌曲1
成立日期	<e1>常熟市华东模锻工具有限公司</e1>，前身为常熟市华东模锻厂创建于<e2>1972年</e2>，是生产五金工具的专业企业，也是上海工具公司“沪工”牌活络扳手的生产基地
作者	《<e1>重生之做你的新娘</e1>》是<e2>徐楠棋</e2>创作的网络小说，发表于晋江文学网
主演	说起于正，很多人想到的都是他的电视剧，尤其是“宫”系列的电视剧：《<e1>宫锁珠帘</e1>》、《宫锁心玉》、《宫锁连城》，可是捧红了杨幂、<e2>何晟铭</e2>、冯绍峰、佟丽娅、袁姗姗等一众明星呢，特别是杨幂，现在可是当红小花，妥妥的流量担当
unknow	1918年，<e2>保定陆军军官学校</e2>第八期在山东招生，<e1>裴昌会</e1>投考保定军校并被录取
主演	四个版本的“胡八一”IP改编一度被认为是快速变现的捷径，西游题材的影视剧不必盘点，光是以《大话西游》为蓝本的作品，目前就已经有《大话西游3》、《越光宝盒》和《大话西游之爱你一万年》，而同样网络小说的改编权也遭到疯抢，光是《<e1>鬼吹灯</e1>》的男主角胡八一，包括网剧版在内，就被陈坤、赵又廷、<e2>靳东</e2>、王大陆和阮经天五位演员演绎过，未来可能还会更多
歌手	《<e1>找一个地方</e1>》是<e2>张国荣</e2>的《英雄本色》专辑里的一首歌曲，词:谢明训黄文隆，曲:kentakada
主演	<e2>秦岚</e2>出生于辽宁省沈阳市，2001年，她出演个人首部电视剧《<e1>大唐情史</e1>》，后来的她凭借精湛的演技行走在娱乐圈，并获得观众的一度好评，秦岚不仅演戏精湛颜值高身材好，生活中的她可是穿衣时尚潮流令人羡慕
主演	《<e1>士兵突击</e1>》是由八一电影制片厂、北京华谊兄弟影视投资有限公司联合出品，由康红雷执导、兰晓龙编剧，王宝强、陈思成、<e2>段奕宏</e2>、张译、邢佳栋、张国强、李晨等主演的军事动作剧
作者	《<e1>随身空间之种田小农女</e1>》是<e2>小小清新</e2>创作的网络小说，发表于起点网
导演	《<e1>苏东坡</e1>》是由北京小百花文化艺术中心出品的一部古装历史传记剧，由<e2>王文杰</e2>执导，陆毅、林心如、韩雨芹等主演
出生日期	<e1>张德芳</e1>，男，<e2>1955年3月</e2>生，甘肃永昌人，研究员
主演	文/瑶霖娱乐《<e1>致我们单纯的小美好</e1>》去年年底算是网剧中的黑马，因为玛丽苏和小清新的剧情让不少网友深陷其中，也让一众主演圈粉无数，特别是剧中男主江辰的扮演者<e2>胡一天</e2>，微博粉丝从70万涨到700万，从此以后资源丰富，也成为综艺和晚会受邀的常客，最近也收到《小美好》后第一部电视剧的邀请，成为了新版《绝代双骄》的花无缺
unknow	个人简介<e1>李兴</e1>，男，1973年生于天津，1996年毕业于<e2>天津美术学院</e2>，学士学位
出版社	《<e1>色彩-西班牙现代绘画教程</e1>》是1992年<e2>广西美术出版社</e2>出版的图书，作者是西嘉丝奇，（西）阿辛什
出生日期	简介<e1>高汉强</e1>，男，<e2>1972年</e2>出生，山东人，就职于南宁海关政治部
主演	《<e1>烟雨红颜</e1>》刘德凯执导，<e2>周迅</e2>、张信哲、邱心志、曾黎等人出演的爱情电影
主演	《<e1>桌球天王</e1>》是香港电视广播有限公司的电视剧，由唐基明监制，郑少秋、周丽淇、<e2>邓健泓</e2>、许绍雄、滕丽名等领衔主演
主演	《<e1>我不是精英</e1>》<e2>雷佳音</e2>和邓家佳两小无猜，最终走向婚姻
unknow	个人简历<e1>陈春霞</e1>，汉族，安徽省怀远县人，<e2>华东政法学院</e2>法学专业毕业，大学学历，法学学士1988年7月参加工作
主演	7月21日，<e2>林心如</e2>工作出品的第四部大型古装剧《<e1>秀丽江山之长歌行</e1>》登陆江苏卫视，其在剧中担任艺术总监及制作人，并饰演东汉光烈皇后阴丽华，演唱片尾曲《红颜江山》102103
出生日期	<e1>曹百瑛</e1>，男，汉族，<e2>1963年9月</e2>生，1986年7月参加工作，1984年11月加入中国共产党，哈尔滨师范大学马克思主义基本原理专业毕业，研究生学历，法学博士，教授
主演	重新加载《<e1>盗梦空间</e1>》片段盗梦空间(2010)9.32010/美国英国/剧情科幻悬疑/克里斯托弗·诺兰/<e2>莱昂纳多·迪卡普里奥</e2>约瑟夫·高登-莱维特·卢浮宫|《达芬奇密码》、《戏梦巴黎》卢浮宫卢浮宫是世界四大博物馆之首，拥有众多世界级藏品，她之于巴黎人却也是晨跑的好去处，甚至私人画室
歌手	<e2>林奕匡</e2>《<e1>高山低谷</e1>》林奕匡-高山低谷.mp304:28来自雨泽乐娱推荐《有人共鸣》林奕匡-有人共鸣.mp303:39来自雨泽乐娱推荐符家浚《自动弃权》符家浚-自动弃权(放手版).mp303:13来自雨泽乐娱推荐《仍未放手》HeartBeatStation-仍未放手feat.符家浚CalvertFu.mp303:30来自雨泽乐娱推荐.Mr《森林》Mr.-森林.mp305:07来自雨泽乐娱推荐《如果我是陈奕迅》Mr.-如果我是陈奕迅.mp303:10来自雨泽乐娱推荐喜欢的点个关注谢谢
作者	《<e1>无限之追杀穿越者</e1>》是一部连载于起点中文网的小说，作者是<e2>遥远2008</e2>
出生日期	<e1>宋福民</e1>，男，汉族，<e2>1942年1月</e2>生，广西陆川人
出生日期	个人简介<e1>金晓杰</e1>，<e2>1966年</e2>出生于北京，1991年7月毕业于上海戏剧学院舞台美术设计系，灯光设计和舞美设计专业，获双学位
出生日期	<e1>萨姆·蒂明斯</e1>，男，<e2>1997年5月23日</e2>出生于新西兰达尼丁，三人篮球运动员
导演	《<e1>笑傲江湖</e1>》是台湾电视公司根据金庸原著小说《笑傲江湖》改编的古装武侠剧，由<e2>刘立立</e2>执导，梁家仁、刘雪华等领衔主演
导演	第四部——《<e1>神断狄仁杰</e1>》的创作班底和主演仍由原班人马担当，延续<e2>钱雁秋</e2>、梁冠华、张子健的铁三角组合
歌手	同年9月2日，推出首张个人同名Mini专辑《<e2>于朦胧</e2>》的主打歌《<e1>自导自演</e1>》，该歌曲由代岳东作词、金大洲作曲
成立日期	<e1>安徽科学技术出版社</e1>成立于<e2>1979年1月</e2>，是一家以出版自然科学和应用技术图书为主的综合性出版社
作者	《<e1>魔王之王</e1>》是<e2>混世小霸王</e2>创作的网络小说，发表于17K小说网
作者	《<e1>猫和鱼的爱恋</e1>》是由网络作家<e2>文启鉴</e2>创作的一部网络作品，发表于2008年，属于一部言情类的小说作品，正文语种为简体中文，现已完成
作者	《<e1>格格的总裁丈夫</e1>》是在晋江文学城连载的一部都市言情类小说，作者是<e2>丫丫头</e2>
出生日期	<e1>张海涛</e1>，<e2>1927年9月20日</e2>出生，新华社联合国分社首任社长
歌手	歌曲介绍《耍赖》是<e2>弦子</e2>2011年发行专辑《<e1>逆风的蔷薇</e1>》中收录的歌曲，专辑已于2011年11月1日发行
主演	《<e1>通天狄仁杰</e1>》由北京东方天星文化传媒有限公司出品，李文龙、叶昭仪执导、任嘉伦、阚清子、焦俊艳、缪俊杰、李进荣、陈奕、王雨、郑晓宁、<e2>关雪盈</e2>、李若嘉等主演的古装探案悬疑剧1
歌手	《<e1>水岸</e1>》是<e2>齐秦</e2>1994年创作，同年专辑《无情的雨无情的你》中并收录的一首歌曲
作者	《<e1>5岁右脑智能训练</e1>》是2008年明天出版社出版的图书，作者是<e2>孟广存</e2>
出生日期	<e1>陈立青</e1>1基本信息性别：男籍贯：山东省莒县棋山镇西尚庄村政治面貌：党员出生日期：<e2>1926</e2>生前情况生前部队：志愿军生前职位：班长立功情况：一、二、四等功各一次牺牲情况牺牲时间：1953牺牲战役：牺牲地点：朝鲜安葬地：朝鲜
导演	《<e1>大秧歌</e1>》是山东影视传媒集团、完美建信影视、完美影视传媒、海阳完美千策影视等联合出品的抗战剧，由郭靖宇、<e2>柏杉</e2>执导，杨志刚、杨紫、王奎荣、刘芊含领衔主演12
出版社	《<e1>富兰克林去上学</e1>》是2010年6月<e2>接力出版社</e2>出版的图书，作者是(加)布尔乔亚
作者	《<e1>电子商务理论与实践</e1>》是2005年中国人民大学出版社出版的图书，作者是<e2>方美琪</e2>，付虹蛟
导演	《<e1>没有国籍的女人</e1>》是中国大陆1995年拍摄的一部爱情伦理剧，由<e2>叶清纯</e2>导演，艾丽娅和陈宝国主演，共有20集
主演	《<e1>烈日灼心</e1>》是由蓝色星空影业、博纳影业联合出品的犯罪悬疑电影，由曹保平编剧并执导，邓超、段奕宏、<e2>郭涛</e2>、王珞丹等主演
作者	《<e1>内藤湖南への旅</e1>》是2011年藤原书店出版的图书，作者是<e2>粕谷一希</e2>
出版社	《<e1>职场露脸术</e1>》是2010年<e2>现代出版社</e2>出版的图书，作者是孙启鹏
主演	《<e1>剿匪英雄</e1>》是由四川星空文化传媒有限公司出品剿匪剧，张国庆、路军共同执导，马诗红、<e2>袁志博</e2>、葛天、文静共同主演
主演	《<e1>东北二女子</e1>》是一部中国大陆的剧情片，上映于1932年，由胡珊陆丽霞<e2>马陋芬</e2>魏鹏飞主演
作者	《<e1>太古魔道</e1>》是<e2>酒卿</e2>创作的网络小说，发表于17K小说网
主演	《<e1>失踪的上清寺</e1>》是上海宁兴百纳影视传播有限公司公司出品的悬疑爱情剧，该剧由金国钊执导，曹炳琨、傅晶、<e2>洪剑涛</e2>、冯恩鹤、董彦麟等联袂主演
主演	《<e1>关东金王</e1>》是由中国国际电视总公司出品，张仲伟执导，王新军、盖丽丽、范雨林、<e2>谢兰</e2>主演的年代传奇剧
歌手	《<e1>天上的云地上的人</e1>》由李川填词，徐沛东谱曲，<e2>蔡国庆</e2>演唱
作者	《<e1>网店赚钱必会120招</e1>》是2010-8-1科学出版社出版的图书，作者是<e2>前沿文化</e2>
主演	《<e1>百万朵玫瑰</e1>》是韩国KBS1于2003年播出的日日剧，由文宝贤、金亨石合作执导，崔贤京编剧，孙泰英、李昌勋、金承秀、尹海英、梁静雅、韩振熙、<e2>李惠淑</e2>、金慈玉等联袂出演的家庭剧1
主演	《<e1>爱在春天</e1>》是庄训鑫执导的民国爱情剧，1由<e2>俞灏明</e2>、袁姗姗、徐璐、赵韩樱子、陈燃、吉杰、宋宁、孙坚、李泰等主演
导演	《<e1>功夫足球</e1>》该电视剧由香港著名导演<e2>潘文杰</e2>导演，无线翡翠台首播
作者	《<e1>做一个皇帝读书郎</e1>》是2005年华艺出版社出版的图书，作者是<e2>王镜轮</e2>
作者	<e2>鲁迅</e2>先生在《<e1>彷徨</e1>·祝福》中写道：“家中却一律忙，都准备着祝福，这是鲁镇年终的大典”
主演	《<e1>赌城风云</e1>》是由马丁·斯科塞斯执导，罗伯特·德尼罗、莎朗·斯通、<e2>乔·佩西</e2>主演的犯罪电影，于1995年11月22日在美国上映
主演	电视剧《<e1>青盲</e1>》改编自作家张海帆先生的成名小说《青盲之越狱》，由导演杨文军执导，<e2>于和伟</e2>、王丽坤、沙溢、谢君豪、刘向京、吴秀波主演
导演	由中视丰德出资购买纪录片《<e1>一寸山河一寸血</e1>》大陆版权，由<e2>陈君天</e2>导演与大陆创作团队，共同编辑、完成纪录片《一寸山河一寸血》第6版《民族抗战》
歌手	创作背景2009年，雪铁龙在上海车展时发布了概念车“雪铁龙GT”，<e2>周杰伦</e2>知道这部车后，就想写首跟车子有关的情歌，于是创作了《<e1>自导自演</e1>》这首歌曲
出版社	收入《世界宗教研究》2013年第5期《序言》，载乌力吉：《辽代墓葬艺术中的捺钵文化研究》，北京：文化艺术出版社，2013年《序言》，载邹清泉：《虎头金粟影——维摩诘变相研究》，北京：北京大学出版社，2013年《序》，载王敏庆：《<e1>北周佛教美术研究</e1>——以长安造像为中心》，北京：<e2>社会科学文献出版社</e2>，2013年《序言》，载戴晓云：《天地冥阳水陆仪文校点》，北京：中国社会科学出版社，2014年
歌手	《让我们自由》是施立作词，陈小霞作曲，<e2>范玮琪</e2>演唱的歌曲，收录在范玮琪2006年发行的专辑《<e1>我们的纪念日</e1>》中
主演	《<e1>少女怪谈</e1>》是吴仁天执导，<e2>姜河那</e2>、金素恩主演的一部恐怖片
歌手	<e2>曾轶可</e2>也希望，《<e1>给你满分的我</e1>》能在高三考生最紧张最关键的时刻，带给大家最大的勇气和鼓励，坚持自己的梦想，迈向满分
导演	《<e1>再见萤火虫</e1>》是2002年王毓雅，<e2>李慧珠</e2>联合执导，袁耀发，汤钧禧主演的台湾电视剧
unknow	<e1>梁永丰</e1>，于1999年9月任<e2>华南师范大学</e2>教科院副研究员1
出生日期	<e1>丁鹏</e1><e2>1987年</e2>出生，籍贯内蒙古，是中国足球运动员
导演	《<e1>追杀大总统</e1>》是<e2>乔克吉</e2>执导，池敬嘉、华瑜编剧，穆丽燕、张舒云、包斯尔、胡珊珊、侯天来、刘再丽等主演的电视剧，1993年左右作品
成立日期	<e1>四川广播电视集团</e1>成立于<e2>2003年12月</e2>26日，是国有大型现代化传媒集团，以广播、电视为主业，同时兼营相关产业
主演	<e2>胡歌</e2>新剧《<e1>旋风十一人</e1>》即将开播，与江疏影“生情”之作
出生日期	<e1>胡肇智</e1>(<e2>1807</e2>～1871)，字季临，号霁林、砚畲，清代安徽绩溪城内人，幼受祖训，举止端谨
歌手	创作背景<e2>汪峰</e2>创作这首歌的时候正和小苹果母亲葛荟婕热恋，《<e1>我如此爱你</e1>》是写给葛荟婕的
unknow	<e1>任清华</e1>，男，毕业于<e2>第三军医大学</e2>，硕士
成立日期	<e1>北京欧亚铂瑞科技有限公司</e1>于<e2>2013年02月21日</e2>在怀柔分局登记成立
出生日期	<e1>冼润霞</e1>，<e2>1984年</e2>出生，汉族，中共党员
主演	年代抗战剧《<e1>台湾往事</e1>》正在浙江卫视热播,该剧汇集了左小青、刘以豪、<e2>张书豪</e2>、候彦西、简嫚书等一众演员,在剧中台湾演员张书豪饰演男二号“周绍祯”一角,也是台湾当地的人,和林清文以及庄是耕三人是发小、同学,从小一块长大
主演	《<e1>古镜惊劫</e1>》是由冼炜光执导，王世珍编剧，<e2>龙馨悦</e2>、潘博、谭育平主演的迷幻灵异片
出版社	《<e1>游故宫自助手册</e1>》是2006年<e2>紫禁城出版社</e2>出版的图书
导演	《<e1>美妙的奇遇</e1>》是由中央电视台出品的一部都市言情剧，由<e2>邓蕾</e2>、春利执导，舒心编剧
主演	形象里<e2>古天乐</e2>、洪天明和龚慈恩仅仅合作过一部电影《<e1>三人行</e1>》，这是2015年的一部电影，由杜琪峰执导，赵薇、古天乐、钟汉良领衔主演
出版社	《<e1>针织基础（第二分册织袜）</e1>》是1992年<e2>中国纺织出版社</e2>出版的图书
主演	《<e1>京城大状师</e1>》是广东巨星影业公司出品的古装电视剧，由张国立执导，毛乐、张国立、朱媛媛及<e2>马以</e2>领衔主演
主演	那时的<e2>文章</e2>风头正起，自导自演的《<e1>小爸爸</e1>》霸占荧屏，广受好评，凭借这部剧一举拿下“视帝”殊荣，又当众宣布自己再次要做爸爸了，网友们纷纷送上祝福，觉得这辈子文章和马伊琍铁定了
成立日期	<e1>卡地亚</e1>钻戒始于<e2>1847年</e2>，法国卡地亚公司，十大钻戒结婚戒指品牌，于1847年由Louis-Fran
出版社	1.《<e1>戏剧的味/道</e1>》，黄美序著，<e2>山东画报出版社</e2>
成立日期	<e1>法拉利</e1>是一家意大利汽车生产商，主要制造一级方程式赛车、赛车及高性能跑车，<e2>1929年</e2>由恩佐法拉利创办
unknow	人物简介姓名：<e1>王铁民</e1>国籍：中国民族：汉所在医院：青岛静康医院职称：主任医师工作履历王铁民1，毕业于<e2>山东中医药大学</e2>，“循经护肾疗法”创始人、专家组组长
出生日期	<e1>杨颖</e1>（<e2>474</e2>-511年），字惠哲1，弘农华阴（今陕西华阴县）人
成立日期	关于永祥<e1>四川永祥股份有限公司</e1>（以下简称为：永祥股份）成立于<e2>2002年11月</e2>，是由通威集团和四川巨星集团共同投资组建的大型民营科技型企业，注册资金为3
作者	《<e1>看电影的门道（插图第2版）</e1>》是2013年世界图书出版公司·后浪出版公司出版的图书，作者是<e2>吉姆·派珀</e2>
作者	内容介绍《<e1>测量学通用基础实验与实习</e1>(高等学校教材)》由<e2>汪金花</e2>、宋利杰、张永彬、王健编著，是“测量学”、“测绘学基础”、“数字测图”等教材的配套教材，是相关课程课间实验和集中实习的指导书
导演	还记得<e2>陈思诚</e2>第一次当导演兼编剧的《<e1>北京爱情故事</e1>》吗
主演	《<e1>美国恐怖故事第五季</e1>》（原名《美国恐怖故事：旅馆》）是由FX有线电视网于2015年推出的原创恐怖剧集，由瑞恩·墨菲执导，LadyGaga、韦斯·本特利、莎拉·保罗森、伊万·彼得斯、<e2>马特·波莫</e2>、丹尼斯·欧哈拉、芬·维特洛克、安吉拉·贝塞特、凯茜·贝茨等人主演
主演	8、《<e1>雏菊</e1>》《雏菊》又译名（爱无间）是2006年上映的一部电影，由香港导演刘伟强及幕后班底携手韩国演员全智贤、<e2>郑宇成</e2>、李成宰联合打造的韩国黑帮电影
作者	《<e1>居室空间效果图-马克笔快速表现技法</e1>》是2007年广西美术出版社出版的图书，作者是<e2>韦自力</e2>
成立日期	<e1>云南云岭高速公路建设集团有限公司</e1>于<e2>2006年11月13日</e2>在昆明市工商行政管理局登记成立
作者	《<e1>无极修魔</e1>》是百度文学旗下纵横中文网签约作家<e2>夜雪凌晨</e2>创作的一部古典仙侠小说，小说已于2014-05-22正式发布
出生日期	个人简介<e1>王淑娟</e1>1，女，汉族，河南省台前县人，<e2>1978年10月</e2>出生，1997年5月加入中国共产党，1999年7月毕业于河南师范大学中文系汉语言文学专业，文学学士
成立日期	Moli’s，中文名<e1>莫丽斯</e1>，全称上海莫丽斯实业有限公司，是一家专注年轻时尚圈发展，由“中国CD届第一红人”茉莉兔兔发起创立、圈内资深媒体人和沪上知名艺术家共同策划，于<e2>2012年</e2>正式成立于上海的集时装零售/Cosplay概念店/伪娘创意/公关策划的企业
主演	另外<e2>柳云龙</e2>主演了有《暗算》《断刺》《功勋》《<e1>告密者</e1>》《知情者》《公安局长》《大西南剿匪记》《变脸》等作品
主演	线条分明的饱满肌肉加上不断突破自己的决心，<e2>岳松</e2>迅速在武术圈内越来越多人关注2012年7月27日，岳松首部独立功夫电影《<e1>街头之王</e1>》上映
主演	《<e1>掩体</e1>》是殷德义执导的科幻悬疑网剧，由赵菲、<e2>赵晓东</e2>、李沛欣、孙易铖等主演
导演	除了悠扬深远的片头曲，在《<e1>豆腐味道</e1>》的影片当中，<e2>陈建鄂</e2>导演的声音一直引导我们在观察每一个主人公的生活
主演	演职员表演员表职员表拍摄幕后《<e1>无尽的爱</e1>》是大爱电视台继《草山春晖》之后又一部温馨感人的作品，剧中绝大部分的演员卡司都是草山春晖的原班人马，包括<e2>检场</e2>、马国贤、杨丽音、林嘉俐、洪流等
作者	《<e1>公子世无双</e1>》是网站云中书城连载的一部小说，作者是<e2>lemon李萌</e2>
成立日期	<e1>大同煤矿集团大同煤炭运销南郊炬源煤业有限公司</e1>于<e2>2000年4月24日</e2>在大同市工商行政管理局登记成立
成立日期	<e1>湖南顺隆能源有限公司</e1>于<e2>2004年03月02日</e2>在祁东县市场和质量监督管理局登记成立
主演	2012年3月，与李光洁、<e2>王珞丹</e2>合作出演爱情剧《<e1>山楂树之恋</e1>》，饰演静秋的闺蜜钟萍，她为更贴近剧中人物，毅然剪掉留了十年的长发
导演	电影《<e1>12只猴子</e1>》，由<e2>特瑞·吉列姆</e2>（TerryGilliam）执导，布鲁斯·威利斯、布拉德·皮特、玛德琳·斯托主演的科幻片
歌手	《<e1>剪爱</e1>》是黄绮珊翻唱<e2>张惠妹</e2>的一首歌曲，收录在专辑《我是歌手第九期》中，2013年03月发行
歌手	反观出生于83年的<e2>薛之谦</e2>同样也是早早出道，在06年就发行了自己的第一张专辑《<e1>认真的雪</e1>》，可以说歌火人不火的典型代表，这首歌可以说风靡一时，但是薛之谦却很少有人知道，随后又发行了多张专辑，其中的歌曲也都是大家耳熟能详的，但是人依然不火，直到近几年参加了部分综艺节目才火了起来
作者	《<e1>竞争如此残酷你怎么脱颖而出</e1>》是2013年现代出版社出版的图书，作者是【美】<e2>亨利·W</e2>
导演	《<e1>暖秋</e1>》延续了《暖春》的创作风格，导演<e2>王振宏</e2>认为，好看的基础要素是好故事本身，《暖秋》并不是《暖春》的续集，而是同样地以至深、至爱、至真的情感来打动观众，同样将中国儒家思想融入到大爱之中的苦情励志剧
主演	这部剧由郑晓龙导演执导，<e2>孙俪</e2>，刘涛联合主演的大剧开播之后非常红火，当然这也是孙俪继<e1>甄嬛传</e1>之后的第二部大作品，收视成绩也非常不错
导演	《<e1>禁海苍狼</e1>》是一部由<e2>张智超</e2>执导的动作片，方中信、苗侨伟、万梓良、王冠雄、李雨珊、郑亚云等参加演出，1991年上映
主演	《<e1>风云年代</e1>》是由重庆市委宣传部、重庆广播电视集团(总台)、重庆电影集团有限公司、寰亚时代影视文化(北京)有限公司等出品的年代谍战传奇剧，由刘雪松执导，张铎、<e2>徐百卉</e2>、杨明娜、石文中、林栋甫主演
出生日期	<e1>刘永生</e1>，男，汉族，<e2>1971年10月</e2>出生，籍贯：内蒙古太仆寺旗，2001年6月加入中国共产党，1992年7月参加工作，学历：研究生
导演	2013年1月，演出了<e2>张多福</e2>执导的怀旧情感剧《<e1>幸福在哪里</e1>》，刘莉莉饰演抠门婆婆38
